Col1	Col2
6.261439555	3.105483918
5.627203455	3.069788193
6.669236303	3.283007151
7.466116404	2.521489099
7.206624815	2.689497812
5.471950321	2.540635916
7.126489109	3.818287211
6.901814587	3.216239086
6.531354412	3.334738075
6.409521082	3.514766522
6.434308319	3.559155644
7.016354191	2.570253696
6.298243058	2.835257
7.195108063	2.951889274
6.117241248	2.919560178
7.261079655	2.494745285
6.26440719	3.098298788
7.854808395	3.590287062
7.18097718	3.125943893
5.790404396	2.369144123
7.989046476	3.772356882
5.753907243	3.077674028
5.059261744	3.274704245
6.346947803	2.940167974
6.885508775	2.990582851
6.684716252	3.025445327
6.515155125	2.774158408
6.504393642	2.820173643
6.898810821	2.998963458
6.228495065	2.941946392
6.567030571	3.120351733
6.288923921	3.644214192
5.965812793	3.289702871
6.91612797	2.841769767
6.614977986	3.481412675
6.048386882	2.83169924
7.704593536	2.852323705
6.912883006	3.320442624
6.686409349	3.093214524
6.317557836	2.941061981
7.159312136	2.888117083
6.854338258	2.97310617
6.765996032	2.963598914
6.263381198	2.3304024
6.235397994	2.956569771
6.88402279	3.734119437
6.349169349	2.764955918
6.091220629	3.268010602
6.445369005	3.030194383
6.169955973	2.588695916
6.357636418	3.111567003
6.379564922	2.560948237
6.592094698	2.824269396
7.469800063	2.677795519
6.125620803	2.749773627
6.003494793	2.631156271
6.871339115	3.101876252
6.386973356	2.942972345
5.928045767	2.672516406
6.651799536	2.854236419
6.229580569	2.804789518
6.132792669	2.591035104
6.171316965	3.013334777
5.790078334	3.044685299
6.41510868	3.01047383
6.784858627	2.775757874
5.880912749	2.854987359
7.152800416	3.106600009
7.468174816	3.518594619
6.74215598	3.004143537
6.201324706	2.698719059
6.253964221	2.738059986
6.189113037	2.648865096
6.552377019	3.227094466
6.511353442	3.065349156
7.321220886	2.865738352
6.364271741	2.737135697
5.516177832	2.905055173
7.233133146	2.607900586
5.794019349	3.410760508
6.881308682	2.579625989
7.147819804	3.168568123
6.710001393	3.169217453
6.467492337	3.310579528
6.750396401	2.528808743
6.877499488	2.51468198
6.39492658	3.131296802
7.194829543	3.026002269
6.876148624	2.887425007
6.984971183	3.329133898
6.142016231	3.141011056
6.901254707	3.19192715
7.117287857	3.115122307
5.782597517	2.988627302
6.613932321	3.504264315
5.878866406	3.142888823
6.40734274	3.087431296
5.721558726	3.459256048
6.468800092	3.138902592
7.171082788	2.941785445
2.810085434	4.922423282
2.657035433	3.473705593
2.953487492	3.868774921
2.925056163	4.338104943
2.346398787	3.903385543
2.901758578	5.350680481
2.456872442	5.913352295
2.793308829	3.349667898
2.514320042	5.162073763
2.245152316	4.149603719
2.413541928	3.84310037
3.070305898	3.979825403
2.252159519	4.751666033
2.702494524	3.648664805
2.923879631	4.084555999
2.758675242	4.966029441
3.058245515	5.553170218
3.143791781	4.812326717
2.398816461	3.685526761
2.5906429	4.280192234
2.587627288	5.132753829
2.643185716	3.589958331
2.779410116	3.27687886
2.748304275	4.380641154
2.654623106	5.283618691
3.150558637	3.586622824
2.735387448	3.630597216
2.965752657	4.389208186
3.051098844	3.758012979
2.418274804	4.287277298
2.547940362	3.558830511
2.849750788	4.676440583
2.779941106	5.334515127
2.217451597	3.094118662
2.39924484	5.599878293
2.605226326	4.117409031
3.105281412	5.424951623
2.655265391	4.516529219
2.473619219	4.445552179
2.463003924	5.03253897
2.443134596	5.779241993
2.885585438	4.92703904
2.653082113	4.400180123
2.785281329	4.393808781
2.689794712	5.27084236
2.749329592	4.202073623
2.417490269	5.015689169
2.413676482	4.561535916
2.897231828	3.577772766
2.765109794	3.167511013
2.450297779	4.772567052
2.550393445	4.688410243
1.975818793	4.720305712
3.166120734	3.601111387
2.460337476	3.188969709
2.445237599	2.833659055
2.381369606	5.871757213
2.337100162	4.267067872
2.721795301	4.622941125
2.985754862	5.005835303
2.590803026	4.820702039
2.836951525	3.825165043
2.285581896	5.224192286
3.014873177	3.895991499
3.145813195	4.160540447
2.789190395	5.176245002
2.652953228	4.632376144
2.879888674	1.990476554
2.586700729	4.404929634
2.555297741	2.744313613
2.557442376	2.966265569
2.468648917	5.429416558
2.409802352	3.478746473
2.503333711	4.780369446
2.327743343	5.018068688
2.738363195	4.316283855
2.778415692	3.576740081
2.668965198	4.179809754
2.477321933	5.434353281
3.096810544	4.148598516
2.635631596	4.709423455
3.194187738	3.695757508
2.41738313	4.481939669
2.733643157	3.513776737
2.658466062	4.105798616
2.429097682	4.87431954
2.474151192	4.449837556
2.330017547	3.830371808
2.720961417	3.807830013
2.474300329	3.429442931
2.504835736	4.042036833
2.989863408	4.775500665
2.772551531	3.02319972
2.419528451	2.870736637
2.607734276	4.536967576
2.713745375	2.5722558
2.400759069	4.560126871
2.738244009	4.872970159
2.783071735	4.796222031
3.017096894	4.420596065
2.795001656	4.340624969
2.66148475	3.766322127
1.07917829	1.454995825
1.276468127	1.628199397
1.09155312	1.476271378
1.123798384	1.256738858
0.346659814	1.263277597
1.0676575	1.472653352
0.989479587	1.320902874
0.600663934	1.252367628
1.101538578	1.519784695
1.760703689	1.233196412
1.238531476	1.366612705
1.482314394	1.079412129
0.995269341	1.03652703
0.809854016	1.944573867
0.619834658	0.875777643
0.882336478	1.3800806
0.739582827	1.620420474
0.818118522	1.750193963
0.720537152	0.770746759
1.688989463	1.459281173
1.40615173	1.667504375
1.119396598	1.275230354
1.020137994	1.20620725
1.038315714	1.729420851
0.157425537	1.856874242
1.537501396	1.290410281
1.46736211	1.180324171
1.010407531	1.342156754
0.797788926	0.62564438
0.983474097	1.375488463
1.129600857	1.397634916
1.473507829	0.965570812
0.776191386	1.712834459
1.26876266	0.943113818
1.322987298	1.100804791
0.957886901	1.127261018
1.33351868	1.726583679
1.421233554	1.276969611
1.105926167	1.13505057
1.385397361	1.422010938
1.274646368	1.239250737
0.769654856	1.098390418
1.0426698	1.720039934
0.803159417	1.757965043
1.256441982	0.668960403
1.006534766	1.110800696
0.919533384	1.380417967
0.582755973	1.596387265
0.938050384	1.366890266
1.379528708	1.862924193
1.877537175	0.897099075
1.118550666	1.023805913
0.959942702	1.561552769
1.383930966	0.612345011
0.95111098	1.133169029
1.277321318	0.831270442
0.845656814	1.351963302
0.681584826	1.200622613
1.039706725	1.194632996
0.733114709	1.592744839
0.651909327	1.228669332
1.445142795	1.039728276
1.157657826	1.139348416
1.577250462	1.05086544
1.305253705	1.579085037
1.251258007	1.453209695
1.392864904	1.195367001
1.228453998	1.321384672
0.845125971	1.197560687
0.949908035	1.200858799
1.442886274	1.241318757
1.307016275	1.511619536
1.091859038	1.528938061
1.064282966	0.678173017
0.271926448	1.447959869
1.386381576	1.290214023
1.33846293	1.219370795
1.063791495	0.748504556
0.925190994	1.606869481
1.033643348	0.92828904
0.829592383	1.266577
0.732240763	1.181235005
0.965443277	1.342176045
0.878867927	1.913783808
1.176931189	1.474521494
0.488463032	1.003601111
1.327458608	1.126263487
1.097883801	1.335508833
1.224796746	0.825269545
1.240581288	1.120947247
1.544429255	1.049269862
0.83023788	1.161784554
0.440168582	0.868111855
1.190881524	1.698053329
1.349336234	1.2669445
1.36086812	0.712957726
1.077621676	1.388202742
1.234455664	0.892057418
1.238707472	1.17301427
1.285498354	1.008343352
1.521417714	2.040887283
0.881056297	1.084981108
1.23511677	0.845010471
1.3184871	1.609405561
1.044061276	1.18449245
1.634771659	0.887816499
1.262217811	1.417809791
0.697466967	1.053571906
1.506722475	0.647369505
1.373689639	1.144421559
0.823254999	1.020265366
1.099872878	0.894260083
1.304336544	0.873645416
1.139781543	1.572505538
0.765184007	2.332936774
1.576781766	1.285851449
1.195600916	1.421512067
1.203491506	1.22922095
0.669634894	1.453080122
1.071567622	1.537372374
1.342768933	1.192230307
1.005671491	1.425999071
0.764649092	1.738677596
9.770931201	6.527602784
9.61933271	6.283065841
10.1032307	6.320884306
10.09403834	5.932931942
9.936781952	4.925467072
9.669213448	4.70252106
8.881964349	6.420658274
9.999194731	6.495268277
9.38956197	6.120280108
10.07845955	5.467108237
9.450031104	6.128929261
9.847699106	6.461235854
9.49568347	6.161831839
10.35489489	6.205167352
10.46387699	6.51992726
10.24496286	5.989698189
8.83678824	5.186093244
10.79888273	6.336578281
10.83738375	5.351223751
10.33228032	6.096657315
10.15169467	6.139759241
8.912475271	5.110266618
9.979767141	5.777134807
9.071626677	5.958996678
10.29387921	5.872192561
9.3536352	5.472110359
10.27131108	6.051525232
10.06041496	6.654607739
9.848548072	5.746836299
9.579517161	5.99325628
9.542553912	6.654319506
9.446601531	6.991647625
9.63139413	7.887158667
9.22265973	6.462450598
9.10880511	6.351703883
10.05633435	5.679706732
10.06088712	6.075954338
8.910758318	6.609949837
10.30575598	5.733198996
9.352482536	5.729079684
9.934884771	4.653279927
9.40376449	5.980688274
8.904596708	4.861351132
9.327857578	6.678684131
9.899519303	6.04798103
9.838520599	6.436929313
10.12991302	5.89414432
10.13118897	5.844488692
9.754355162	5.770118771
9.289728645	5.665118711
9.315254807	7.264200953
9.833832699	6.707128331
10.14114535	7.027852882
10.00040975	5.829267416
10.04768239	6.155924774
9.377638785	6.256640329
10.12587092	6.602054569
9.122272022	6.537180764
9.358986814	4.211997333
10.34910361	6.689468067
9.772123795	5.714702429
9.84043556	5.783033613
9.564254012	7.107500364
9.150132886	5.662648412
9.302869764	5.304893036
10.0673903	6.110852333
10.1043783	5.088787956
9.707185096	6.614062121
10.32499409	5.857493647
9.886981202	6.402075806
10.66256739	5.835686073
10.07188301	6.147307053
9.482460228	5.921066167
9.945546317	6.400923316
9.755394497	5.830941737
9.57578991	5.737414361
10.10904975	7.120243451
9.144985094	5.391595628
9.478148177	6.126323913
9.380583512	6.557024646
9.24953792	5.016477589
9.547607797	7.096513436
9.853425932	6.463464562
9.496120369	6.982732247
9.313534993	6.090895434
9.580357147	6.035887406
9.367152703	5.792072333
10.30089824	6.887346783
10.09599416	5.846170039
9.907872302	8.049636804
9.540477564	6.279696153
9.448204448	6.511893592
9.951419942	6.66376431
9.442046469	6.23940175
9.796396288	6.658433388
8.886149002	4.987501196
9.71483013	6.451599767
9.649886818	7.578646884
10.51935879	6.408709155
9.795325676	4.375152758
9.388292227	5.758928615
10.17939915	6.60543081
9.663677629	5.54012952
8.982521253	4.830345647
9.516669319	6.048240194
9.614028721	6.020264603
9.278105026	6.359581015
9.638891571	5.813943749
9.797221591	5.685825526
9.684266349	6.690305279
10.67293085	5.662919878
10.10936058	5.895459108
10.01802075	4.683344743
9.011959649	5.822155608
9.391044385	6.096983833
9.57350328	7.055093083
9.36061102	7.66489967
10.18109322	6.137255441
10.01190515	5.896672914
9.920652778	6.525295233
10.1940146	5.112869137
7.391305264	4.677773461
8.081883923	5.585655982
8.417343627	4.918761813
7.817430303	6.397702073
7.49245902	4.597914836
7.594248439	4.995913517
8.039035645	5.358828997
8.170612473	5.245514616
7.643936094	4.140479145
7.978848862	5.046065516
7.477156824	4.649006534
7.909951682	5.811260449
7.588806689	5.403924461
7.473809582	6.133128062
8.105257031	5.021605992
8.16114415	5.135305953
8.525279066	4.934776401
7.386124017	5.183061883
7.712341345	5.276662876
7.708293099	5.360759831
7.86735497	5.249370156
7.521933207	4.900386284
7.357732585	6.031578635
8.157178124	5.158715042
7.403671294	5.030014588
7.868746366	4.599843383
7.732431319	4.642998785
7.773315465	5.437221957
7.500846844	5.504441581
8.744071195	4.967681235
8.024680164	5.35967635
7.278991262	4.802114531
8.156225722	4.941957539
7.81928495	4.733679751
7.786156295	5.060428619
8.070155599	5.273207733
8.124493216	5.3821879
7.517903281	4.964370625
7.758736006	5.101520622
7.920433838	5.02338273
7.576567554	5.631142449
8.157002474	5.568190541
7.514176745	5.834327995
7.56002513	4.999307907
8.379575127	5.827843398
7.467355041	5.050886643
8.054738452	5.245566798
7.498313457	5.234702532
7.79048733	4.476227299
7.91430817	4.464582999
8.108850788	5.231978854
7.393204957	4.256818078
8.109201345	4.941161871
7.218078891	4.748353823
7.908933376	5.184994934
6.868261845	4.61694902
7.93579417	5.785976002
7.282747958	4.834007583
8.222313441	6.039523824
7.574314043	5.525803978
7.446711533	5.11987681
7.244278907	5.5333865
7.717270855	5.54409286
7.597233571	4.42753923
7.516650029	4.528692477
7.633061262	5.079345144
7.56555199	5.490985427
7.701265542	4.728044523
7.96412318	5.254400841
6.929151757	5.831756418
7.810459646	5.070920082
8.335657255	5.548713242
7.43131667	4.798979363
7.315833296	5.687610526
7.580438895	5.810506411
7.468585197	4.802632765
7.297738863	5.005283421
7.846668735	5.138790317
7.885364078	5.33836832
7.339845139	4.786252586
7.448205653	4.130920071
7.628657089	5.383517797
7.982607149	4.670918814
7.733760281	5.706671754
7.653241599	5.074027953
8.0419694	6.000605638
8.219001384	5.237537603
7.754482162	5.319444024
7.935104306	5.91407991
7.824744792	5.140022914
7.812770077	5.098623452
7.547487118	5.183523171
7.484010096	5.42440183
7.563164027	6.173891266
7.690207254	4.519620061
8.170351879	4.658918675
7.646750618	4.765502737
7.569966867	5.278678685
7.986915273	5.050210562
7.492024264	4.993650946
7.988520594	4.922175384
7.817306487	5.101530415
8.000818795	5.568477594
7.61145253	6.273257782
7.281959844	5.92696263
7.889103577	5.221802148
7.521467383	4.665952332
7.880476308	4.1216852
7.792971615	5.929783566
7.403802883	5.138518085
8.150512202	5.131818036
7.756017644	4.83774918
7.764488487	5.075644619
7.543783338	4.8923583
7.80260963	5.946970247
7.867687503	5.443491585
